学号,性别,所属学院,高等数学,大学英语,Python程序设计,体育测试
STU20240000,女,商学院,87.4,79.2,97.1,67.9
STU20240001,女,文法学院,75.9,71.9,80.0,73.5
STU20240002,男,理学院,68.8,79.3,74.3,78.7
STU20240003,女,机电学院,87.5,72.2,90.2,70.2
STU20240004,男,文法学院,69.4,67.6,72.8,77.3
STU20240005,男,商学院,70.5,81.8,75.0,73.6
STU20240006,女,理学院,77.8,62.4,74.9,88.9
STU20240007,男,理学院,79.8,64.2,79.3,63.6
STU20240008,男,商学院,53.7,85.2,63.9,75.4
STU20240009,女,文法学院,50.1,100.0,56.2,79.5
STU20240010,女,商学院,87.8,53.6,89.2,67.6
STU20240011,女,理学院,71.4,98.2,76.8,61.2
STU20240012,女,计算机学院,80.5,89.7,75.5,58.7
STU20240013,男,机电学院,90.1,68.6,89.1,86.0
STU20240014,女,文法学院,62.2,72.5,71.4,79.5
STU20240015,女,机电学院,52.2,67.7,56.4,85.1
STU20240016,男,理学院,73.6,47.2,78.6,63.1
STU20240017,女,计算机学院,99.3,71.0,100.0,57.3
STU20240018,男,机电学院,84.9,58.9,98.7,93.6
STU20240019,男,商学院,67.7,86.7,78.1,78.5
STU20240020,男,商学院,88.1,79.0,87.3,75.9
STU20240021,女,计算机学院,58.9,72.1,65.1,88.5
STU20240022,女,文法学院,55.4,68.6,62.3,77.1
STU20240023,女,理学院,79.9,75.5,81.7,67.4
STU20240024,男,机电学院,78.5,62.2,78.0,81.1
STU20240025,男,计算机学院,52.8,79.2,56.3,72.9
STU20240026,男,文法学院,97.7,66.9,88.7,85.5
STU20240027,女,机电学院,98.6,76.6,93.8,67.5
STU20240028,男,计算机学院,63.2,68.7,71.4,83.9
STU20240029,女,机电学院,86.6,66.9,91.7,81.5
STU20240030,女,机电学院,61.2,71.0,67.2,69.5
STU20240031,男,理学院,29.6,50.3,54.8,75.3
STU20240032,男,理学院,69.7,72.8,81.0,78.0
STU20240033,男,理学院,62.7,43.3,81.6,76.4
STU20240034,女,机电学院,80.6,67.7,86.2,75.4
STU20240035,女,商学院,74.9,79.9,86.0,64.5
STU20240036,女,商学院,59.3,84.0,74.7,84.0
STU20240037,男,理学院,61.3,85.0,68.2,78.8
STU20240038,女,机电学院,73.5,62.9,80.8,73.3
STU20240039,女,理学院,72.6,84.1,78.7,83.7
STU20240040,女,计算机学院,64.0,75.1,68.7,76.4
STU20240041,男,理学院,80.1,85.6,78.2,83.8
STU20240042,女,计算机学院,62.0,80.4,62.0,75.3
STU20240043,男,文法学院,88.8,81.0,88.3,63.9
STU20240044,男,机电学院,75.0,77.7,74.0,71.4
STU20240045,女,机电学院,64.0,78.1,68.5,86.9
STU20240046,男,理学院,55.4,81.3,70.9,87.5
STU20240047,男,商学院,79.5,61.8,77.7,77.8
STU20240048,男,机电学院,86.6,66.3,87.7,78.1
STU20240049,女,文法学院,67.0,89.7,76.1,74.6
STU20240050,男,理学院,80.4,74.8,89.9,81.0
STU20240051,男,商学院,68.2,71.5,71.4,75.8
STU20240052,男,文法学院,95.7,70.8,100.0,73.2
STU20240053,女,理学院,67.6,66.6,78.9,80.4
STU20240054,女,理学院,42.6,82.8,51.3,81.9
STU20240055,女,计算机学院,76.2,82.3,85.2,75.1
STU20240056,男,理学院,66.0,74.5,64.0,76.8
STU20240057,男,文法学院,71.2,96.0,73.7,89.5
STU20240058,男,商学院,61.4,75.2,59.0,96.3
STU20240059,女,理学院,64.1,75.1,66.5,82.4
STU20240060,男,文法学院,64.3,76.8,73.0,75.1
STU20240061,男,文法学院,74.7,92.0,82.1,68.8
STU20240062,女,文法学院,57.0,52.5,66.8,65.1
STU20240063,女,计算机学院,80.6,81.1,86.2,62.7
STU20240064,女,商学院,93.5,77.5,97.2,59.1
STU20240065,男,商学院,69.8,95.8,84.9,77.6
STU20240066,女,商学院,62.9,94.5,70.3,62.3
STU20240067,男,商学院,51.1,87.8,59.7,77.3
STU20240068,女,理学院,59.0,72.0,62.9,80.6
STU20240069,女,计算机学院,70.1,38.4,77.0,72.0
STU20240070,女,文法学院,63.9,70.0,65.1,69.9
STU20240071,女,文法学院,80.5,50.6,79.5,57.5
STU20240072,男,计算机学院,58.8,91.4,62.2,70.9
STU20240073,女,文法学院,81.9,95.4,96.6,71.5
STU20240074,男,文法学院,69.6,61.7,80.6,87.8
STU20240075,男,文法学院,50.0,82.3,71.2,92.2
STU20240076,男,商学院,66.4,70.2,75.3,79.5
STU20240077,男,商学院,60.4,68.4,64.8,71.8
STU20240078,男,理学院,43.8,95.6,58.3,86.3
STU20240079,女,理学院,24.2,82.6,37.2,77.6
STU20240080,女,商学院,37.8,73.6,54.5,60.8
STU20240081,女,机电学院,80.9,58.5,78.1,76.1
STU20240082,男,商学院,70.5,61.2,81.4,78.3
STU20240083,女,文法学院,65.4,70.9,71.7,63.6
STU20240084,男,计算机学院,87.5,77.1,91.2,73.2
STU20240085,女,机电学院,39.0,68.1,47.3,70.2
STU20240086,男,机电学院,55.4,84.7,60.3,60.5
STU20240087,女,文法学院,71.6,59.0,67.7,65.9
STU20240088,男,机电学院,67.3,100.0,72.2,74.8
STU20240089,男,计算机学院,63.1,67.2,66.8,90.6
STU20240090,男,计算机学院,58.9,88.7,57.4,81.4
STU20240091,女,机电学院,57.7,68.4,67.7,75.1
STU20240092,男,理学院,90.8,66.0,99.2,80.3
STU20240093,女,商学院,84.8,78.5,80.9,66.7
STU20240094,男,理学院,76.6,81.0,85.4,97.4
STU20240095,女,商学院,73.5,95.7,81.5,75.9
STU20240096,男,理学院,80.7,77.6,78.8,85.1
STU20240097,男,计算机学院,58.9,84.5,61.2,88.8
STU20240098,女,商学院,33.8,82.5,51.4,54.0
STU20240099,男,机电学院,58.5,56.4,69.7,92.8
STU20240100,女,文法学院,60.0,68.1,68.1,65.6
STU20240101,女,商学院,56.4,78.6,73.0,57.2
STU20240102,男,计算机学院,60.3,78.6,61.8,93.5
STU20240103,男,机电学院,87.8,78.9,94.3,92.3
STU20240104,男,文法学院,91.0,68.2,91.4,80.2
STU20240105,男,商学院,76.7,66.0,86.8,88.1
STU20240106,女,文法学院,48.5,70.4,59.1,72.5
STU20240107,男,机电学院,74.2,69.9,72.5,86.8
STU20240108,男,计算机学院,63.0,74.4,68.4,69.4
STU20240109,男,计算机学院,62.7,93.6,71.2,87.4
STU20240110,女,商学院,98.8,81.3,100.0,76.2
STU20240111,男,机电学院,68.8,100.0,72.4,89.2
STU20240112,女,文法学院,66.2,57.7,67.8,66.7
STU20240113,女,计算机学院,74.4,87.7,79.5,73.1
STU20240114,女,计算机学院,68.8,78.7,68.0,62.4
STU20240115,男,计算机学院,52.5,75.8,62.3,68.7
STU20240116,男,理学院,47.0,52.8,60.3,71.8
STU20240117,女,文法学院,52.5,87.2,55.8,70.9
STU20240118,女,计算机学院,78.3,73.0,91.0,57.9
STU20240119,女,理学院,50.6,69.0,68.0,59.3
STU20240120,男,文法学院,64.6,68.1,71.8,75.0
STU20240121,男,计算机学院,78.2,72.4,90.2,69.2
STU20240122,男,文法学院,73.5,88.9,74.8,77.8
STU20240123,男,机电学院,100.0,73.8,95.6,78.4
STU20240124,男,商学院,44.8,51.1,57.4,80.0
STU20240125,男,商学院,82.8,64.8,84.0,79.3
STU20240126,男,机电学院,54.0,82.5,58.0,87.0
STU20240127,男,机电学院,76.0,76.9,79.8,88.7
STU20240128,男,理学院,70.9,74.4,81.4,73.4
STU20240129,男,理学院,82.6,72.4,82.3,87.2
STU20240130,男,计算机学院,74.5,89.4,80.2,74.5
STU20240131,女,商学院,56.2,82.6,65.4,67.9
STU20240132,女,商学院,80.9,61.4,79.9,63.6
STU20240133,男,理学院,100.0,75.3,100.0,80.2
STU20240134,男,理学院,100.0,92.5,100.0,72.3
STU20240135,男,理学院,70.3,81.6,74.6,84.0
STU20240136,女,理学院,86.2,96.3,84.8,80.8
STU20240137,男,商学院,37.6,71.0,50.8,71.9
STU20240138,女,文法学院,66.0,82.7,71.7,82.4
STU20240139,男,商学院,63.3,61.7,84.6,69.8
STU20240140,男,理学院,79.1,58.3,84.8,76.5
STU20240141,女,计算机学院,59.7,76.2,69.4,66.3
STU20240142,女,商学院,56.3,61.2,64.3,66.7
STU20240143,男,文法学院,98.1,87.4,97.0,79.9
STU20240144,男,计算机学院,78.2,91.1,85.5,86.0
STU20240145,女,计算机学院,49.4,83.9,57.4,67.8
STU20240146,男,机电学院,57.3,74.3,63.6,95.9
STU20240147,女,商学院,35.3,70.9,36.1,69.2
STU20240148,男,理学院,60.6,78.5,75.5,77.5
STU20240149,男,计算机学院,49.6,54.9,61.0,87.5
STU20240150,男,商学院,82.3,49.5,75.1,73.2
STU20240151,男,机电学院,91.9,85.2,87.8,69.3
STU20240152,男,商学院,82.9,100.0,87.5,83.0
STU20240153,女,理学院,85.0,70.5,92.7,71.5
STU20240154,男,计算机学院,55.2,54.2,67.7,72.3
STU20240155,女,理学院,69.1,66.6,73.9,53.6
STU20240156,男,商学院,95.3,62.1,100.0,74.4
STU20240157,女,机电学院,64.1,62.9,71.1,76.3
STU20240158,男,计算机学院,78.2,75.0,86.5,80.5
STU20240159,男,计算机学院,61.9,77.7,69.7,85.5
STU20240160,女,商学院,71.7,64.2,75.3,62.1
STU20240161,女,商学院,81.2,74.1,95.2,71.4
STU20240162,男,文法学院,59.4,75.3,58.7,67.5
STU20240163,男,商学院,74.7,94.8,73.8,85.1
STU20240164,男,商学院,71.4,70.3,72.0,77.2
STU20240165,女,理学院,77.7,85.4,79.3,63.8
STU20240166,女,理学院,39.5,73.7,49.2,72.2
STU20240167,男,商学院,79.3,56.6,82.5,87.4
STU20240168,女,计算机学院,76.3,87.0,75.1,70.1
STU20240169,男,机电学院,66.5,78.2,69.6,71.3
STU20240170,男,机电学院,80.0,83.5,88.0,95.7
STU20240171,女,计算机学院,95.8,81.2,88.3,76.4
STU20240172,男,理学院,82.7,85.3,80.2,80.4
STU20240173,女,计算机学院,64.9,71.7,80.0,81.6
STU20240174,男,理学院,64.5,67.5,73.8,70.8
STU20240175,女,计算机学院,72.5,91.3,82.7,73.1
STU20240176,男,计算机学院,61.7,86.7,66.0,75.7
STU20240177,女,理学院,56.4,83.7,61.2,66.5
STU20240178,男,计算机学院,81.2,78.1,89.3,79.8
STU20240179,女,文法学院,59.3,80.4,63.1,71.4
STU20240180,男,计算机学院,70.0,75.0,82.9,58.3
STU20240181,女,理学院,85.6,64.1,90.7,77.4
STU20240182,男,文法学院,75.5,90.5,85.4,86.1
STU20240183,男,计算机学院,67.7,69.7,88.0,78.2
STU20240184,女,机电学院,64.1,93.2,68.2,67.9
STU20240185,女,文法学院,77.4,68.7,90.2,78.1
STU20240186,男,理学院,71.3,50.5,79.1,91.4
STU20240187,女,商学院,80.5,85.0,89.2,76.8
STU20240188,女,文法学院,65.1,86.8,69.8,58.8
STU20240189,男,文法学院,90.1,77.4,91.1,87.0
STU20240190,男,理学院,85.5,60.0,83.2,79.5
STU20240191,男,商学院,65.7,59.0,74.7,73.6
STU20240192,男,计算机学院,58.0,53.3,63.0,71.1
STU20240193,男,商学院,67.4,92.6,75.5,81.5
STU20240194,女,机电学院,67.6,81.5,74.3,89.7
