客户编号,客户年龄,历史总消费,售后互动次数,近一月活跃天,流失风险指数
UID-0001,33,557.58,9,14,71.62
UID-0002,39,6640.49,20,11,56.55
UID-0003,28,1053.47,45,21,36.33
UID-0004,37,262.23,38,3,76.78
UID-0005,42,1246.51,26,9,71.25
UID-0006,29,554.99,26,27,30.97
UID-0007,31,2541.84,1,14,62.51
UID-0008,34,570.99,40,9,62.21
UID-0009,37,701.92,47,4,79.09
UID-0010,31,165.75,12,27,41.68
UID-0011,34,697.63,8,4,93.9
UID-0012,29,97.14,35,28,24.86
UID-0013,37,225.0,21,8,72.56
UID-0014,37,2345.88,41,2,73.03
UID-0015,31,2406.19,25,9,55.56
UID-0016,38,1678.17,11,29,30.94
UID-0017,27,416.97,16,14,67.22
UID-0018,30,1045.54,13,22,41.35
UID-0019,32,1092.69,13,9,56.77
UID-0020,36,344.34,33,24,28.0
UID-0021,25,4931.5,19,23,36.52
UID-0022,21,2636.91,10,16,63.87
UID-0023,33,879.22,15,29,40.65
UID-0024,41,1126.52,30,17,53.41
UID-0025,31,1350.71,5,16,63.06
UID-0026,28,142.35,18,12,52.55
UID-0027,40,856.47,36,3,70.4
UID-0028,39,554.47,3,11,79.28
UID-0029,40,402.78,46,14,48.7
UID-0030,32,827.91,3,18,61.51
UID-0031,42,6618.91,19,21,38.81
UID-0032,32,2081.5,9,21,52.03
UID-0033,32,619.44,23,5,58.44
UID-0034,39,1944.16,34,16,45.65
UID-0035,43,4444.2,25,20,29.09
UID-0036,27,2764.55,36,5,43.93
UID-0037,40,1164.01,37,3,61.4
UID-0038,40,574.25,20,12,53.18
UID-0039,35,2204.43,39,1,65.7
UID-0040,32,1625.36,38,21,34.8
UID-0041,44,2684.35,20,29,34.66
UID-0042,33,2069.73,9,9,73.2
UID-0043,30,3132.39,37,29,20.43
UID-0044,31,642.11,45,9,47.8
UID-0045,46,4094.48,3,4,92.63
UID-0046,37,999999.0,44,3,59.62
UID-0047,41,8736.46,19,17,50.1
UID-0048,44,550.49,16,2,75.92
UID-0049,32,6222.73,6,24,45.58
UID-0050,30,1336.64,3,1,74.65
UID-0051,33,571.68,28,8,50.12
UID-0052,27,675.95,13,13,51.79
UID-0053,47,796.04,2,23,60.29
UID-0054,35,1676.0,23,15,46.17
UID-0055,33,1849.8,36,8,54.36
UID-0056,51,617.88,15,12,68.61
UID-0057,35,1070.25,3,22,49.06
UID-0058,31,9341.95,23,12,62.21
UID-0059,37,6170.55,33,14,34.26
UID-0060,22,1696.5,29,15,46.81
UID-0061,44,1139.11,17,15,56.7
UID-0062,28,1236.49,18,9,62.79
UID-0063,38,2025.39,30,19,27.53
UID-0064,30,394.34,18,26,49.84
UID-0065,33,847.78,48,20,24.64
UID-0066,37,206.73,45,29,24.92
UID-0067,32,1634.71,18,22,44.32
UID-0068,38,2094.76,21,8,73.15
UID-0069,35,676.42,23,21,64.55
UID-0070,38,5292.19,44,19,24.29
UID-0071,38,321.9,11,6,64.97
UID-0072,47,253.57,29,20,45.1
UID-0073,32,1372.59,37,25,20.22
UID-0074,45,3124.71,30,29,37.17
UID-0075,30,5907.2,35,19,48.31
UID-0076,41,693.06,18,4,76.37
UID-0077,35,3224.98,47,23,31.46
UID-0078,26,1055.21,44,7,65.92
UID-0079,44,922.76,35,28,17.53
UID-0080,32,2653.57,29,28,30.97
UID-0081,43,2105.53,48,4,49.72
UID-0082,37,226.7,32,22,46.55
UID-0083,37,4800.81,17,12,42.01
UID-0084,26,4359.41,48,13,41.96
UID-0085,36,586.66,27,3,70.86
UID-0086,38,1629.13,46,22,22.31
UID-0087,39,1797.28,10,12,57.13
UID-0088,32,1423.22,44,2,60.7
UID-0089,38,632.51,32,24,44.39
UID-0090,38,560.25,16,2,64.65
UID-0091,26,1068.96,5,27,34.48
UID-0092,31,3543.0,3,23,60.7
UID-0093,44,1888.62,19,9,61.0
UID-0094,41,757.02,47,1,53.96
UID-0095,36,2372.5,46,8,58.33
UID-0096,29,63.53,26,23,34.0
UID-0097,31,3459.11,14,6,78.94
UID-0098,38,192.54,5,6,67.71
UID-0099,45,763.23,46,22,30.54
UID-0100,34,357.93,13,25,51.58
UID-0101,31,300.46,10,18,51.57
UID-0102,42,3501.08,38,17,50.06
UID-0103,28,686.98,8,29,37.96
UID-0104,46,1550.77,25,12,75.62
UID-0105,36,1046.37,15,6,84.13
UID-0106,27,1767.0,4,26,31.99
UID-0107,43,1184.2,9,27,47.43
UID-0108,38,303.99,49,8,42.27
UID-0109,32,2969.85,2,19,58.07
UID-0110,35,669.31,12,28,39.44
UID-0111,41,231.23,42,10,40.74
UID-0112,39,714.72,48,1,70.89
UID-0113,44,4918.5,29,25,37.76
UID-0114,33,2566.3,44,29,19.07
UID-0115,36,773.83,5,13,59.61
UID-0116,34,773.36,16,17,53.93
UID-0117,31,795.02,44,3,62.93
UID-0118,17,8749.47,18,8,61.75
UID-0119,41,1606.7,41,14,18.42
UID-0120,27,1685.88,34,3,63.59
UID-0121,40,3072.61,45,16,26.87
UID-0122,37,1392.41,25,13,52.31
UID-0123,22,846.37,4,20,39.41
UID-0124,36,901.13,28,24,23.37
UID-0125,35,1020.86,36,17,54.94
UID-0126,41,1056.56,19,13,54.51
UID-0127,34,2270.21,48,29,16.18
UID-0128,42,1155.1,20,6,71.89
UID-0129,33,2281.62,9,17,52.3
UID-0130,28,1011.59,4,14,82.26
UID-0131,36,1186.35,35,17,41.05
UID-0132,38,148.68,5,8,74.7
UID-0133,36,2741.68,25,11,66.41
UID-0134,34,1550.74,3,20,69.87
UID-0135,32,2975.03,38,28,18.91
UID-0136,21,60.57,38,1,59.8
UID-0137,42,8851.79,49,26,36.81
UID-0138,34,953.76,34,7,66.11
UID-0139,35,3321.54,0,21,64.92
UID-0140,28,387.65,23,21,29.78
UID-0141,33,2023.88,35,17,58.23
UID-0142,37,382.44,5,10,60.92
UID-0143,33,587.71,40,11,51.46
UID-0144,35,7435.58,45,22,30.17
UID-0145,38,906.25,43,9,43.11
UID-0146,24,1362.99,30,9,42.88
UID-0147,47,2617.74,19,24,25.6
UID-0148,33,1800.25,23,5,67.54
UID-0149,34,1274.64,24,17,34.13
UID-0150,47,1579.65,35,9,45.36
UID-0151,29,12129.74,20,17,48.1
UID-0152,26,1035.23,29,24,10.21
UID-0153,26,1340.9,23,21,50.18
UID-0154,24,3135.85,43,19,12.69
UID-0155,42,3312.72,41,27,26.24
UID-0156,41,3594.03,29,7,61.56
UID-0157,27,2077.1,21,23,46.05
UID-0158,37,349.67,27,9,58.71
UID-0159,39,5616.32,6,7,91.6
UID-0160,31,348.51,34,13,51.5
UID-0161,33,1484.21,27,11,65.96
UID-0162,32,515.8,13,14,51.21
UID-0163,42,1028.51,9,19,54.99
UID-0164,40,1523.5,15,11,77.12
UID-0165,35,1512.26,15,13,56.64
UID-0166,32,1672.24,30,14,51.84
UID-0167,33,5506.65,41,13,55.67
UID-0168,44,1725.95,24,1,65.61
UID-0169,32,859.06,12,8,46.53
UID-0170,48,2875.8,5,12,68.85
UID-0171,37,3602.81,43,19,46.54
UID-0172,31,321.31,8,12,50.37
UID-0173,38,1993.01,44,8,58.92
UID-0174,25,2210.94,35,8,62.06
UID-0175,23,814.39,42,29,0.0
UID-0176,34,4340.34,19,21,36.42
UID-0177,32,943.83,17,13,53.88
UID-0178,28,1243.36,42,12,45.02
UID-0179,37,922.35,20,29,26.57
UID-0180,25,1113.85,3,16,51.76
UID-0181,39,366.4,49,1,76.29
UID-0182,33,259.81,32,13,49.54
UID-0183,33,5401.89,26,26,28.09
UID-0184,40,470.14,6,7,71.95
UID-0185,34,406.92,5,28,47.19
UID-0186,26,127.31,14,26,40.33
UID-0187,23,578.85,17,5,66.35
UID-0188,27,292.05,31,8,51.44
UID-0189,39,5664.73,10,25,38.09
UID-0190,50,3010.37,19,27,32.57
UID-0191,31,551.06,23,14,56.51
UID-0192,24,10429.94,14,23,34.42
UID-0193,37,2927.09,47,13,47.54
UID-0194,34,792.48,6,15,73.81
UID-0195,36,90.07,20,23,45.36
UID-0196,21,10839.4,41,17,35.81
UID-0197,34,273.26,25,15,38.7
UID-0198,31,211.58,43,20,50.17
UID-0199,34,3049.0,13,18,41.37
UID-0200,36,12578.6,36,18,49.89
UID-0201,39,4377.67,20,2,78.85
UID-0202,31,1927.37,17,4,68.25
UID-0203,38,1987.74,4,1,79.22
UID-0204,48,2574.51,2,4,61.74
UID-0205,37,2342.39,22,18,51.73
UID-0206,46,1452.72,25,5,72.63
UID-0207,21,1217.07,36,19,28.43
UID-0208,33,1030.1,23,15,50.52
UID-0209,37,515.96,48,28,22.07
UID-0210,42,828.26,18,8,70.95
UID-0211,33,201.75,24,20,44.38
UID-0212,42,993.92,20,17,35.84
UID-0213,34,408.06,11,1,72.92
UID-0214,49,363.73,40,12,51.87
UID-0215,30,1312.77,32,26,39.66
UID-0216,37,4411.64,49,19,28.25
UID-0217,27,2747.14,3,15,82.01
UID-0218,35,228.04,41,9,34.04
UID-0219,35,407.63,6,7,66.46
UID-0220,36,2809.53,21,2,71.17
UID-0221,43,410.56,32,29,26.59
UID-0222,27,876.0,16,9,51.61
UID-0223,40,1900.84,23,10,64.17
UID-0224,39,416.4,33,2,70.06
UID-0225,27,1218.5,27,19,44.23
UID-0226,32,288.87,42,11,51.74
UID-0227,33,601.02,40,13,42.68
UID-0228,44,1509.87,38,10,37.56
UID-0229,35,222.96,21,14,47.73
UID-0230,33,1703.56,48,18,37.22
UID-0231,35,1075.31,16,19,51.37
UID-0232,35,1905.48,33,22,37.74
UID-0233,37,1371.85,5,9,74.92
UID-0234,24,4290.42,45,25,20.64
UID-0235,27,1242.93,5,7,71.84
UID-0236,27,713.79,33,28,33.43
UID-0237,29,1239.29,0,3,79.11
UID-0238,44,1888.05,9,20,40.67
UID-0239,38,1151.55,20,6,57.66
UID-0240,29,1142.06,4,27,51.45
UID-0241,28,543.49,1,21,66.81
UID-0242,29,565.15,21,2,82.56
UID-0243,27,269.72,47,29,22.02
UID-0244,29,6308.02,1,6,63.59
UID-0245,35,316.12,9,3,76.12
UID-0246,37,548.45,33,16,61.15
UID-0247,23,534.64,15,8,70.89
UID-0248,41,2683.63,47,2,57.98
UID-0249,29,816.52,38,17,47.59
UID-0250,33,3818.99,21,9,49.43
UID-0251,37,559.2,11,12,55.8
UID-0252,34,1449.53,23,3,58.98
UID-0253,35,475.64,46,11,51.44
UID-0254,26,9368.88,39,1,70.66
UID-0255,35,334.42,37,23,32.51
UID-0256,31,1494.91,9,13,53.04
UID-0257,29,2066.84,34,15,46.17
UID-0258,27,1658.72,48,26,18.96
UID-0259,37,911.15,31,5,55.31
UID-0260,40,963.12,6,21,55.46
UID-0261,25,1145.75,20,17,42.54
UID-0262,36,946.71,19,25,24.81
UID-0263,34,2875.2,25,23,26.75
UID-0264,31,10001.83,3,24,33.09
UID-0265,38,627.98,45,25,29.93
UID-0266,37,278.72,21,6,67.75
UID-0267,26,1003.97,14,28,37.92
UID-0268,30,14468.21,39,21,41.06
UID-0269,29,490.94,20,22,54.43
UID-0270,25,5648.34,14,11,55.64
UID-0271,26,5870.53,21,18,51.88
UID-0272,41,630.44,27,4,51.54
UID-0273,28,1937.17,13,3,86.82
UID-0274,46,5588.11,26,13,42.76
UID-0275,36,750.6,40,23,25.83
UID-0276,40,894.64,39,9,47.91
UID-0277,32,612.97,27,21,26.73
UID-0278,35,397.52,25,6,64.51
UID-0279,27,572.91,48,26,25.68
UID-0280,31,322.49,1,28,41.85
UID-0281,28,1134.65,24,12,40.6
UID-0282,35,507.77,2,2,100.0
UID-0283,32,1385.46,7,3,82.12
UID-0284,32,231.39,43,3,84.85
UID-0285,30,1526.73,32,28,20.99
UID-0286,40,2523.82,41,12,57.56
UID-0287,34,149.35,34,15,54.31
UID-0288,32,1594.09,5,9,66.39
UID-0289,27,3743.1,38,23,46.27
UID-0290,47,327.13,22,8,60.02
UID-0291,24,5840.5,24,11,52.97
UID-0292,36,1667.4,49,16,5.1
UID-0293,29,541.85,42,26,30.62
UID-0294,28,1037.15,18,27,23.96
UID-0295,38,1916.64,4,25,41.94
UID-0296,32,1183.23,10,22,38.24
UID-0297,33,1879.49,11,4,70.08
UID-0298,34,436.73,9,28,44.38
UID-0299,34,1299.01,7,1,80.03
UID-0300,40,266.74,23,24,46.54
UID-0301,30,981.2,27,7,73.46
UID-0302,33,444.12,40,2,59.03
UID-0303,44,525.56,35,24,29.78
UID-0304,27,3774.76,36,28,35.69
UID-0305,37,3265.96,20,5,78.17
UID-0306,37,2016.54,7,7,78.68
UID-0307,28,367.85,8,4,65.42
UID-0308,30,799.18,46,5,59.14
UID-0309,32,3688.95,14,24,44.34
UID-0310,27,1263.6,47,1,70.17
